2025-12-08 15:19:45,632 -        33600        27.87        -7.84        26.57         1.98        0.19       -7.71
2025-12-08 15:21:24,382 -        34560        27.87        -6.95        26.91         1.63        0.25       -8.09
2025-12-08 15:21:31,514 -        35520        28.95
2025-12-08 15:22:55,184 -        35520        28.95        -7.43        28.95         1.57        0.10       -6.47
2025-12-08 15:24:13,785 -        36480        28.95        -7.23        28.29         0.56       -0.02       -7.94
2025-12-08 15:25:30,608 -        37440        28.95        -7.60        28.41         2.24       -0.33       -6.98
2025-12-08 15:26:49,921 -        38400        28.95        -7.40        27.53         2.97       -0.20       -7.20
2025-12-08 15:26:56,449 -        39360        29.46
2025-12-08 15:28:12,415 -        39360        29.46        -6.24        29.46         1.35       -0.44       -7.59
2025-12-08 15:29:33,431 -        40320        29.46        -6.64        28.82         0.53       -0.33       -7.52
2025-12-08 15:29:56,155 -         Step      maxGoal    expReturn      expGoal   CriticLoss    ActorLoss      LogProb
2025-12-08 15:29:56,644 - Load models from directory: ./saves/100_100_100000_10zu50_0.1_0.5_0/
2025-12-08 15:29:56,906 - Models successfully loaded from ./saves/100_100_100000_10zu50_0.1_0.5_0/
2025-12-08 15:30:04,978 -        41120        29.41
2025-12-08 15:31:09,349 -        41120        29.41        -7.04        29.41         6.15        0.13       -7.69
2025-12-08 15:32:21,436 -        41920        29.41        -6.73        26.84         0.98       -0.21       -6.82
2025-12-08 15:33:32,457 -        42720        29.41        -6.26        29.28         0.46       -0.17       -7.96
2025-12-08 15:34:43,837 -        43520        29.41        -6.45        29.36         1.73       -0.18       -7.82
2025-12-08 15:34:49,773 -        44320        31.49
2025-12-08 15:35:50,646 -        44320        31.49        -6.96        31.49         1.23       -0.16       -7.82
2025-12-08 15:36:55,605 -        45120        31.49        -6.54        29.93         1.33       -0.04       -7.51
2025-12-08 15:37:01,710 -        45920        32.41
2025-12-08 15:38:05,399 -        45920        32.41        -6.47        32.41         1.31        0.11       -7.70
2025-12-08 15:39:17,303 -        46720        32.41        -6.50        28.51         0.68       -0.05       -7.72
2025-12-08 15:40:27,425 -        47520        32.41        -6.15        30.38         1.09       -0.16       -6.46
2025-12-08 15:41:38,189 -        48320        32.41        -6.08        30.22         2.10        0.04       -7.06
2025-12-08 15:42:46,386 -        49120        32.41        -6.54        30.65         0.95        0.11       -6.08
2025-12-08 15:42:52,424 -        49920        32.95
2025-12-08 15:44:00,225 -        49920        32.95        -5.78        32.95         0.98        0.23       -6.81
2025-12-08 15:45:13,119 -        50720        32.95        -5.89        29.37         2.11        0.49       -7.60
