2025-12-08 13:55:05,403 -        40800        29.05        -6.74        28.75         1.44       -0.06       -6.01
2025-12-08 13:55:10,974 -        41600        30.29
2025-12-08 13:56:07,868 -        41600        30.29        -6.06        30.29         1.94        0.65       -7.02
2025-12-08 13:57:10,117 -        42400        30.29        -6.60        29.16         1.16       -0.19       -6.93
2025-12-08 13:58:12,218 -        43200        30.29        -6.06        29.82         0.82        0.55       -7.31
2025-12-08 13:59:16,868 -        44000        30.29        -6.63        29.16         1.89        0.07       -6.62
2025-12-08 14:00:20,050 -        44800        30.29        -6.97        30.01         2.15       -0.06       -5.47
2025-12-08 14:01:22,565 -        45600        30.29        -5.85        26.48         2.18       -0.15       -6.78
2025-12-08 14:02:24,744 -        46400        30.29        -6.57        27.97         2.43       -0.11       -6.97
2025-12-08 14:03:26,649 -        47200        30.29        -5.99        30.14         1.09        0.03       -6.21
2025-12-08 14:03:32,283 -        48000        32.21
2025-12-08 14:04:28,855 -        48000        32.21        -6.70        32.21        13.10       -0.14       -6.57
2025-12-08 14:05:30,759 -        48800        32.21        -6.10        30.76         0.83       -0.10       -5.56
2025-12-08 14:06:33,083 -        49600        32.21        -6.14        31.88         0.75        0.32       -6.40
2025-12-08 14:07:37,471 -        50400        32.21        -6.52        30.20         0.75       -0.03       -5.87
